Method,Features,Accuracy,Reduction
baseline,37,0.9714285714285714,0.0
model_importance_mean,7,0.9185714285714286,0.8108108108108107
model_importance_median,37,0.9714285714285714,0.0
cumulative_95,7,0.9185714285714286,0.8108108108108107
